highest_scoring_half_equal,away_team_clean_sheet_yes,handicap_1:0_away_(1:0),1st_half_-_double_chance_home_or_away,double_chance_draw_or_away,handicap_1:0_home_(1:0),over/under_under_1.5,match_score_away,1st_goal_away,highest_scoring_half_1st_half,home_team_goals_2,Team B ID,handicap_1:0_draw_(1:0),away_team_goals_2,2nd_half_-_1x2_draw,1st_half_-_asian_handicap_away_(+0.5),match_score_home,away_team_goals_3+,Team A ID,1st_half_-_handicap_home_(0:1),excluded_number_of_goals_-_first_half_3+,excluded_number_of_goals_-_away_3+,1x2_home,handicap_0:1_away_(0:1),Timestamp,excluded_number_of_goals_-_away_0,handicap_0:2_home_(0:2),1x2_draw,rest_of_the_match_(current_score_0:0)_home,rest_of_the_match_(current_score_0:0)_away,gg/ng_2+_no,asian_handicap_-0.5_home_(-0.5),Team A,over/under_over_1.5,home_team_goals_0,1st_half_-_draw_no_bet_home,home_team_clean_sheet_no,double_chance_home_or_away,gg/ng_2+_yes,2nd_half_-_gg/ng_yes,1st_half_-_over/under_under_0.5,excluded_number_of_goals_-_away_1,2nd_half_-_1x2_away,excluded_number_of_goals_-_first_half_0,1st_half_-_double_chance_home_or_draw,2nd_half_-_gg/ng_no,Start Time,excluded_number_of_goals_-_home_3+,excluded_number_of_goals_-_home_0,draw_no_bet_away,excluded_number_of_goals_-_away_2,draw_no_bet_home,Match ID,match_finished,odd/even_even,excluded_number_of_goals_-_home_2,1st_half_-_1x2_draw,1st_half_-_1x2_away,handicap_0:2_away_(0:2),1st_goal_home,away_team_goals_0,home_team_clean_sheet_yes,odd/even_odd,rest_of_the_match_(current_score_0:0)_draw,excluded_number_of_goals_-_first_half_2,handicap_0:1_draw_(0:1),excluded_number_of_goals_-_first_half_1,1st_half_-_gg/ng_no,1st_half_-_handicap_draw_(0:1),1st_goal_none,1x2_away,handicap_0:1_home_(0:1),1st_half_-_over/under_over_0.5,1st_half_-_1x2_home,asian_handicap_-0.5_away_(+0.5),1st_half_-_double_chance_draw_or_away,home_team_goals_1,Team B,away_team_goals_1,handicap_0:2_draw_(0:2),excluded_number_of_goals_-_home_1,1st_half_-_gg/ng_yes,highest_scoring_half_2nd_half,double_chance_home_or_draw,2nd_half_-_1x2_home,1st_half_-_asian_handicap_home_(-0.5),away_team_clean_sheet_no,1st_half_-_draw_no_bet_away,1st_half_-_handicap_away_(0:1),home_team_goals_3+,1st_half_-_over/under_under_1.5,1st_half_-_handicap_draw_(0:2),1st_half_-_handicap_away_(0:2),1st_half_-_handicap_home_(0:2),1st_half_-_asian_handicap_home_(-1.5),handicap_0:3_draw_(0:3),handicap_0:3_home_(0:3),over/under_over_2.5,1st_half_-_asian_handicap_away_(+1.5),over/under_under_2.5,1st_half_-_over/under_over_1.5,handicap_0:3_away_(0:3),handicap_2:0_away_(2:0),handicap_3:0_draw_(3:0),handicap_2:0_draw_(2:0),handicap_3:0_home_(3:0),over/under_under_3.5,handicap_2:0_home_(2:0),over/under_over_3.5,handicap_3:0_away_(3:0)
0.2966,0.266,0.0759,0.2672,0.254,0.7586,0.3625,0,0.3268,0.2827,0.2449,951340600736578,0.1655,0.1524,0.3869,0.625,0,0.0511,601988165374472,0.1073,0.3028,0.3089,0.4957,0.4795,0,0.1898,0.1105,0.2911,0.4957,0.2132,0.8811,0.5068,Coruxo FC,0.6375,0.2449,0.6675,0.5541,0.3518,0.1189,0.2214,0.3896,0.2173,0.209,0.21,0.4129,0.7786,2026-04-05 19:15,0.2729,0.2531,0.3056,0.2839,0.6944,61691932,False,0.5135,0.2531,0.464,0.174,0.7176,0.5515,0.4344,0.4459,0.4865,0.2911,0.2715,0.2603,0.2157,0.8281,0.2723,0.1217,0.2132,0.2603,0.6104,0.3619,0.4932,0.3199,0.3344,Club Marino de Luanco,0.362,0.1719,0.221,0.1719,0.4207,0.3942,0.4041,0.375,0.734,0.3325,0.6204,0.1757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.2966,0.266,0.0759,0.2672,0.254,0.7586,0.3625,0,0.3268,0.2827,0.2449,951340600736578,0.1655,0.1524,0.3869,0.625,0,0.0511,601988165374472,0.1073,0.3028,0.3089,0.4957,0.4795,13,0.1898,0.1105,0.2911,0.4957,0.2132,0.8811,0.5068,Coruxo FC,0.6375,0.2449,0.6675,0.5541,0.3518,0.1189,0.2214,0.3896,0.2173,0.209,0.21,0.4129,0.7786,2026-04-05 19:15,0.2729,0.2531,0.3056,0.2839,0.6944,61691932,False,0.5135,0.2531,0.464,0.174,0.7176,0.5515,0.4344,0.4459,0.4865,0.2911,0.2715,0.2603,0.2157,0.8281,0.2723,0.1217,0.2132,0.2603,0.6104,0.3619,0.4932,0.3199,0.3344,Club Marino de Luanco,0.362,0.1719,0.221,0.1719,0.4207,0.3942,0.4041,0.375,0.734,0.3325,0.6204,0.1757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.2966,0.266,0.0759,0.2672,0.254,0.7586,0.3625,0,0.3268,0.2827,0.2449,951340600736578,0.1655,0.1524,0.3869,0.625,0,0.0511,601988165374472,0.1073,0.3028,0.3089,0.4957,0.4795,23,0.1898,0.1105,0.2911,0.4957,0.2132,0.8811,0.5068,Coruxo FC,0.6375,0.2449,0.6675,0.5541,0.3518,0.1189,0.2214,0.3896,0.2173,0.209,0.21,0.4129,0.7786,2026-04-05 19:15,0.2729,0.2531,0.3056,0.2839,0.6944,61691932,False,0.5135,0.2531,0.464,0.174,0.7176,0.5515,0.4344,0.4459,0.4865,0.2911,0.2715,0.2603,0.2157,0.8281,0.2723,0.1217,0.2132,0.2603,0.6104,0.3619,0.4932,0.3199,0.3344,Club Marino de Luanco,0.362,0.1719,0.221,0.1719,0.4207,0.3942,0.4041,0.375,0.734,0.3325,0.6204,0.1757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.2966,0.266,0.0759,0.2672,0.254,0.7586,0.3625,0,0.3268,0.2827,0.2449,951340600736578,0.1655,0.1524,0.3869,0.625,0,0.0511,601988165374472,0.1073,0.3028,0.3089,0.4957,0.4795,34,0.1898,0.1105,0.2911,0.4957,0.2132,0.8811,0.5068,Coruxo FC,0.6375,0.2449,0.6675,0.5541,0.3518,0.1189,0.2214,0.3896,0.2173,0.209,0.21,0.4129,0.7786,2026-04-05 19:15,0.2729,0.2531,0.3056,0.2839,0.6944,61691932,False,0.5135,0.2531,0.464,0.174,0.7176,0.5515,0.4344,0.4459,0.4865,0.2911,0.2715,0.2603,0.2157,0.8281,0.2723,0.1217,0.2132,0.2603,0.6104,0.3619,0.4932,0.3199,0.3344,Club Marino de Luanco,0.362,0.1719,0.221,0.1719,0.4207,0.3942,0.4041,0.375,0.734,0.3325,0.6204,0.1757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.2966,0.266,0.0759,0.2672,0.254,0.7586,0.3625,0,0.3268,0.2827,0.2449,951340600736578,0.1655,0.1524,0.3869,0.625,0,0.0511,601988165374472,0.1073,0.3028,0.3089,0.4957,0.4795,47,0.1898,0.1105,0.2911,0.4957,0.2132,0.8811,0.5068,Coruxo FC,0.6375,0.2449,0.6675,0.5541,0.3518,0.1189,0.2214,0.3896,0.2173,0.209,0.21,0.4129,0.7786,2026-04-05 19:15,0.2729,0.2531,0.3056,0.2839,0.6944,61691932,False,0.5135,0.2531,0.464,0.174,0.7176,0.5515,0.4344,0.4459,0.4865,0.2911,0.2715,0.2603,0.2157,0.8281,0.2723,0.1217,0.2132,0.2603,0.6104,0.3619,0.4932,0.3199,0.3344,Club Marino de Luanco,0.362,0.1719,0.221,0.1719,0.4207,0.3942,0.4041,0.375,0.734,0.3325,0.6204,0.1757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.2966,0.266,0.0759,0.2672,0.254,0.7586,0.3625,0,0.3268,0.2827,0.2449,951340600736578,0.1655,0.1524,0.3869,0.625,0,0.0511,601988165374472,0.1073,0.3028,0.3089,0.4957,0.4795,58,0.1898,0.1105,0.2911,0.4957,0.2132,0.8811,0.5068,Coruxo FC,0.6375,0.2449,0.6675,0.5541,0.3518,0.1189,0.2214,0.3896,0.2173,0.209,0.21,0.4129,0.7786,2026-04-05 19:15,0.2729,0.2531,0.3056,0.2839,0.6944,61691932,False,0.5135,0.2531,0.464,0.174,0.7176,0.5515,0.4344,0.4459,0.4865,0.2911,0.2715,0.2603,0.2157,0.8281,0.2723,0.1217,0.2132,0.2603,0.6104,0.3619,0.4932,0.3199,0.3344,Club Marino de Luanco,0.362,0.1719,0.221,0.1719,0.4207,0.3942,0.4041,0.375,0.734,0.3325,0.6204,0.1757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.2966,0.266,0.0759,0.2672,0.254,0.7586,0.3625,0,0.3268,0.2827,0.2449,951340600736578,0.1655,0.1524,0.3869,0.625,0,0.0511,601988165374472,0.1073,0.3028,0.3089,0.4957,0.4795,70,0.1898,0.1105,0.2911,0.4957,0.2132,0.8811,0.5068,Coruxo FC,0.6375,0.2449,0.6675,0.5541,0.3518,0.1189,0.2214,0.3896,0.2173,0.209,0.21,0.4129,0.7786,2026-04-05 19:15,0.2729,0.2531,0.3056,0.2839,0.6944,61691932,False,0.5135,0.2531,0.464,0.174,0.7176,0.5515,0.4344,0.4459,0.4865,0.2911,0.2715,0.2603,0.2157,0.8281,0.2723,0.1217,0.2132,0.2603,0.6104,0.3619,0.4932,0.3199,0.3344,Club Marino de Luanco,0.362,0.1719,0.221,0.1719,0.4207,0.3942,0.4041,0.375,0.734,0.3325,0.6204,0.1757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.2966,0.266,0.0759,0.2672,0.254,0.7586,0.3625,0,0.3268,0.2827,0.2449,951340600736578,0.1655,0.1524,0.3869,0.625,0,0.0511,601988165374472,0.1073,0.3028,0.3089,0.4957,0.4795,81,0.1898,0.1105,0.2911,0.4957,0.2132,0.8811,0.5068,Coruxo FC,0.6375,0.2449,0.6675,0.5541,0.3518,0.1189,0.2214,0.3896,0.2173,0.209,0.21,0.4129,0.7786,2026-04-05 19:15,0.2729,0.2531,0.3056,0.2839,0.6944,61691932,False,0.5135,0.2531,0.464,0.174,0.7176,0.5515,0.4344,0.4459,0.4865,0.2911,0.2715,0.2603,0.2157,0.8281,0.2723,0.1217,0.2132,0.2603,0.6104,0.3619,0.4932,0.3199,0.3344,Club Marino de Luanco,0.362,0.1719,0.221,0.1719,0.4207,0.3942,0.4041,0.375,0.734,0.3325,0.6204,0.1757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.2966,0.266,0.0759,0.2672,0.254,0.7586,0.3625,0,0.3268,0.2827,0.2449,951340600736578,0.1655,0.1524,0.3869,0.625,0,0.0511,601988165374472,0.1073,0.3028,0.3089,0.4957,0.4795,92,0.1898,0.1105,0.2911,0.4957,0.2132,0.8811,0.5068,Coruxo FC,0.6375,0.2449,0.6675,0.5541,0.3518,0.1189,0.2214,0.3896,0.2173,0.209,0.21,0.4129,0.7786,2026-04-05 19:15,0.2729,0.2531,0.3056,0.2839,0.6944,61691932,False,0.5135,0.2531,0.464,0.174,0.7176,0.5515,0.4344,0.4459,0.4865,0.2911,0.2715,0.2603,0.2157,0.8281,0.2723,0.1217,0.2132,0.2603,0.6104,0.3619,0.4932,0.3199,0.3344,Club Marino de Luanco,0.362,0.1719,0.221,0.1719,0.4207,0.3942,0.4041,0.375,0.734,0.3325,0.6204,0.1757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.2966,0.266,0.0759,0.2672,0.254,0.7586,0.3625,0,0.3268,0.2827,0.2449,951340600736578,0.1655,0.1524,0.3869,0.625,0,0.0511,601988165374472,0.1073,0.3028,0.3089,0.4957,0.4795,103,0.1898,0.1105,0.2911,0.4957,0.2132,0.8811,0.5068,Coruxo FC,0.6375,0.2449,0.6675,0.5541,0.3518,0.1189,0.2214,0.3896,0.2173,0.209,0.21,0.4129,0.7786,2026-04-05 19:15,0.2729,0.2531,0.3056,0.2839,0.6944,61691932,False,0.5135,0.2531,0.464,0.174,0.7176,0.5515,0.4344,0.4459,0.4865,0.2911,0.2715,0.2603,0.2157,0.8281,0.2723,0.1217,0.2132,0.2603,0.6104,0.3619,0.4932,0.3199,0.3344,Club Marino de Luanco,0.362,0.1719,0.221,0.1719,0.4207,0.3942,0.4041,0.375,0.734,0.3325,0.6204,0.1757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
