1st_game_-_odd/even_even,set_3_home_point,match_score_home,set_2_home_point,game_handicap_1.5_away_(-1.5),Team A,1st_game_-_total_points_over_16.5,1st_game_-_odd/even_odd,1st_game_-_1st_point_home,set_5_home_point,Timestamp,total_points_over_73.5,set_4_home_point,1st_game_-_total_points_under_16.5,Match ID,total_points_under_73.5,point_handicap_away_(-2.5),set_2_away_point,game_handicap_1.5_home_(+1.5),set_5_away_point,Team B,set_1_home_point,1st_game_-_point_handicap_home_(-3.5),1st_game_-_race_to_3_points_home,match_finished,set_4_away_point,match_score_away,1st_game_-_point_handicap_away_(+3.5),set_3_away_point,1st_game_-_1st_point_away,exact_games_5,point_handicap_home_(+2.5),exact_games_3,Start Time,exact_games_4,1st_game_-_race_to_3_points_away,set_1_away_point,1st_game_-_winner_home,winner_away,1st_game_-_total_points_over_17.5,1st_game_-_winner_away,1st_game_-_total_points_under_17.5,winner_home,point_handicap_away_(-3.5),point_handicap_home_(+3.5),total_points_under_74.5,total_points_over_74.5,point_handicap_away_(-0.5),point_handicap_home_(+0.5),point_handicap_home_(+1.5),point_handicap_away_(-1.5),game_handicap_-1.5_away_(+1.5),point_handicap_home_(-0.5),point_handicap_away_(+0.5),game_handicap_-1.5_home_(-1.5),total_points_over_75.5,total_points_under_75.5,1st_game_-_total_points_over_18.5,1st_game_-_total_points_under_18.5,correct_score_3:0,correct_score_1:3,correct_score_2:3,point_handicap_home_(+4.5),point_handicap_away_(-4.5),correct_score_3:1,correct_score_0:3,correct_score_3:2,how_many_games_will_be_decided_by_extra_points_1,how_many_games_will_be_decided_by_extra_points_0,how_many_games_will_be_decided_by_extra_points_2,how_many_games_will_be_decided_by_extra_points_5,how_many_games_will_be_decided_by_extra_points_3,how_many_games_will_be_decided_by_extra_points_4,1st_game_-_point_handicap_away_(+2.5),1st_game_-_point_handicap_home_(-2.5),point_handicap_away_(-6.5),point_handicap_home_(+6.5),point_handicap_home_(+7.5),point_handicap_away_(-7.5),point_handicap_away_(-8.5),point_handicap_home_(+8.5),game_handicap_2.5_home_(+2.5),game_handicap_2.5_away_(-2.5),2nd_game_-_point_handicap_away_(-4.5),2nd_game_-_odd/even_odd,2nd_game_-_race_to_3_points_home,2nd_game_-_total_points_over_16.5,total_points_under_71.5,2nd_game_-_odd/even_even,2nd_game_-_point_handicap_home_(+4.5),2nd_game_-_total_points_under_16.5,2nd_game_-_race_to_3_points_away,total_points_over_71.5,2nd_game_-_winner_away,2nd_game_-_winner_home,2nd_game_-_point_handicap_away_(+2.5),total_points_over_70.5,2nd_game_-_point_handicap_home_(-2.5),total_points_under_70.5,2nd_game_-_total_points_over_17.5,2nd_game_-_total_points_under_17.5,2nd_game_-_point_handicap_home_(+2.5),2nd_game_-_point_handicap_away_(-2.5),point_handicap_home_(+9.5),point_handicap_away_(-9.5),total_points_under_66.5,point_handicap_away_(-10.5),total_points_over_66.5,point_handicap_home_(+10.5),total_points_under_59.5,total_points_over_59.5,2nd_game_-_point_handicap_away_(-3.5),2nd_game_-_point_handicap_home_(+3.5),point_handicap_home_(+11.5),point_handicap_away_(-11.5),point_handicap_home_(+12.5),point_handicap_away_(-12.5),total_points_under_57.5,total_points_over_57.5,point_handicap_home_(+13.5),point_handicap_away_(-13.5),total_points_over_56.5,total_points_under_56.5,total_points_under_54.5,total_points_over_54.5,total_points_under_55.5,total_points_over_55.5,3rd_game_-_point_handicap_away_(+2.5),3rd_game_-_total_points_over_17.5,3rd_game_-_race_to_3_points_away,3rd_game_-_total_points_under_17.5,3rd_game_-_odd/even_even,3rd_game_-_odd/even_odd,3rd_game_-_race_to_3_points_home,3rd_game_-_point_handicap_home_(-2.5),3rd_game_-_winner_away,3rd_game_-_winner_home,3rd_game_-_total_points_over_16.5,3rd_game_-_total_points_under_16.5,total_points_over_62.5,total_points_under_62.5,total_points_under_69.5,total_points_over_69.5,total_points_under_60.5,total_points_over_60.5,total_points_under_67.5,total_points_over_67.5,3rd_game_-_total_points_under_18.5,3rd_game_-_total_points_over_18.5,3rd_game_-_point_handicap_home_(+2.5),3rd_game_-_point_handicap_away_(-2.5),1st_game_-_point_handicap_home_(+2.5),1st_game_-_point_handicap_away_(-2.5),2nd_game_-_point_handicap_away_(+3.5),2nd_game_-_point_handicap_home_(-3.5),2nd_game_-_point_handicap_away_(+4.5),2nd_game_-_point_handicap_home_(-4.5),3rd_game_-_point_handicap_away_(-4.5),3rd_game_-_point_handicap_home_(+4.5),point_handicap_away_(-5.5),point_handicap_home_(+5.5),3rd_game_-_point_handicap_home_(-3.5),3rd_game_-_point_handicap_away_(+3.5),4th_game_-_point_handicap_away_(-4.5),4th_game_-_odd/even_odd,4th_game_-_odd/even_even,4th_game_-_winner_home,4th_game_-_race_to_3_points_home,4th_game_-_winner_away,4th_game_-_point_handicap_home_(+4.5),4th_game_-_race_to_3_points_away,4th_game_-_point_handicap_home_(-2.5),4th_game_-_point_handicap_away_(+2.5),point_handicap_home_(-1.5),point_handicap_away_(+1.5),4th_game_-_point_handicap_home_(+2.5),4th_game_-_point_handicap_away_(-2.5),4th_game_-_point_handicap_home_(+3.5),4th_game_-_point_handicap_away_(-3.5),5th_game_-_winner_away,5th_game_-_winner_home
0.6202,N/A,0,N/A,0.4079,"Bohac, Martin",0.757,0.3798,0.4932,N/A,0,0.527,N/A,0.243,59967279,0.473,0.5,N/A,0.5921,N/A,"Serak, Petr",N/A,0.24,0.4795,False,N/A,0,0.76,N/A,0.5068,0.3108,0.5,0.3108,2025-04-19 17:30,0.3784,0.5205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.6202,N/A,0,N/A,0.4079,"Bohac, Martin",0.757,0.3798,0.4932,N/A,1,0.527,N/A,0.243,59967279,0.473,0.5,N/A,0.5921,N/A,"Serak, Petr",N/A,0.24,0.4795,False,N/A,0,0.76,N/A,0.5068,0.3108,0.5,0.3108,2025-04-19 17:30,0.3784,0.5205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.6202,N/A,0,N/A,0.4079,"Bohac, Martin",0.757,0.3798,0.4932,N/A,2,0.527,N/A,0.243,59967279,0.473,0.5,N/A,0.5921,N/A,"Serak, Petr",N/A,0.24,0.4795,False,N/A,0,0.76,N/A,0.5068,0.3108,0.5,0.3108,2025-04-19 17:30,0.3784,0.5205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.6202,N/A,0,N/A,0.4079,"Bohac, Martin",0.757,0.3798,0.4932,N/A,4,0.527,N/A,0.243,59967279,0.473,0.5,N/A,0.5921,N/A,"Serak, Petr",N/A,0.24,0.4795,False,N/A,0,0.76,N/A,0.5068,0.3108,0.5,0.3108,2025-04-19 17:30,0.3784,0.5205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.6202,N/A,0,N/A,0.4079,"Bohac, Martin",0.757,0.3798,0.4932,N/A,5,0.527,N/A,0.243,59967279,0.473,0.5,N/A,0.5921,N/A,"Serak, Petr",N/A,0.24,0.4795,False,N/A,0,0.76,N/A,0.5068,0.3108,0.5,0.3108,2025-04-19 17:30,0.3784,0.5205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.6202,N/A,0,N/A,0.4079,"Bohac, Martin",0.757,0.3798,0.4932,N/A,6,0.527,N/A,0.243,59967279,0.473,0.5,N/A,0.5921,N/A,"Serak, Petr",N/A,0.24,0.4795,False,N/A,0,0.76,N/A,0.5068,0.3108,0.5,0.3108,2025-04-19 17:30,0.3784,0.5205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.6202,N/A,0,N/A,0.4079,"Bohac, Martin",0.757,0.3798,0.4932,N/A,7,0.527,N/A,0.243,59967279,0.473,0.5,N/A,0.5921,N/A,"Serak, Petr",1,0.24,0.4795,False,N/A,0,0.76,N/A,0.5068,0.3108,0.5,0.3108,2025-04-19 17:30,0.3784,0.5205,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.6202,N/A,0,N/A,0.4079,"Bohac, Martin",0.757,0.3798,0.4932,N/A,11,0.527,N/A,0.243,59967279,0.473,0.5,N/A,0.5921,N/A,"Serak, Petr",1,0.24,0.4795,False,N/A,0,0.76,N/A,0.5068,0.3108,0.5,0.3108,2025-04-19 17:30,0.3784,0.5205,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.6202,N/A,0,N/A,0.4079,"Bohac, Martin",0.757,0.3798,0.4932,N/A,13,0.527,N/A,0.243,59967279,0.473,0.5,N/A,0.5921,N/A,"Serak, Petr",1,0.24,0.4795,False,N/A,0,0.76,N/A,0.5068,0.3108,0.5,0.3108,2025-04-19 17:30,0.3784,0.5205,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.6202,N/A,0,N/A,0.4079,"Bohac, Martin",0.757,0.3798,0.4932,N/A,14,0.527,N/A,0.243,59967279,0.473,0.5,N/A,0.5921,N/A,"Serak, Petr",1,0.24,0.4795,False,N/A,0,0.76,N/A,0.5068,0.3108,0.5,0.3108,2025-04-19 17:30,0.3784,0.5205,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
